NGI.ID;Name;Zoo
P34104_257;NA;Skansen
P34104_365;NA;Skansen
P34104_366;NA;Skansen
P34104_301;Grimir;Helsinki
P34104_302;Grimir;Helsinki
P34104_362;Pinja;Helsinki
P34104_363;Pinja;Helsinki
P34104_303;Angus;Gaia
P34104_304;Angus;Gaia
P34104_305;Skally;Gaia
P34104_306;Skally;Gaia
P34104_340;Angus;Gaia
P34104_339;Skally;Gaia
P34104_307;Malcolm;Herberstein
P34104_308;Malcolm;Herberstein
P34104_309;Vidja;Herberstein
P34104_310;Vidja;Herberstein
P34104_311;Loki;Osnabrück
P34104_312;Loki;Osnabrück
P34104_313;Vilja;Osnabrück
P34104_314;Vilja;Osnabrück
P34104_341;Loki;Osnabrück
P34104_342;Vilja;Osnabrück
P34104_315;NA;Duisburg
P34104_316;NA;Duisburg
P34104_317;NA;Duisburg
P34104_318;NA;Duisburg
P34104_343;NA;Duisburg
P34104_344;NA;Duisburg
P34104_319;Järvi;Salzburg
P34104_320;Järvi;Salzburg
P34104_321;Logan;Salzburg
P34104_322;Logan;Salzburg
P34104_373;Logan;Salzburg
P34104_374;Järvi;Salzburg
P34104_323;NA;Ústí nad Labem
P34104_325;NA;Ústí nad Labem
P34104_326;Eunice;Ústí nad Labem
P34104_327;NA;Ústí nad Labem
P34104_328;Kaamos;Nordens Ark
P34104_329;Kaamos;Nordens Ark
P34104_338;Edison;Nordens Ark
P34104_330;Edison;Nordens Ark
P34104_331;Ludde;Lycksele
P34104_333;Tysk-Ann;Lycksele
P34104_334;Tysk-Ann;Lycksele
P34104_335;Ludde;Lycksele
P34104_336;Tysk-Ann;Lycksele
P34104_345;NA;Vildriket
P34104_347;NA;Vildriket
P34104_348;NA;Vildriket
P34104_349;NA;Vildriket
P34104_350;NA;Vildriket
P34104_351;NA;Vildriket
P34104_353;Brownie;Kolmården
P34104_354;Brownie;Kolmården
P34104_355;Brownie;Kolmården
P34104_356;Brownie;Kolmården
P34104_372;Brownie;Kolmården
P34104_357;Fenja;Borås
P34104_358;Fenja;Borås
P34104_359;Fenja;Borås
P34104_360;Loke;Borås
P34104_361;Loke;Borås
P34104_367;NA;Ähtäri
P34104_370;NA;Ähtäri
P34104_371;NA;Ähtäri
