NGI ID,User ID,Date sampled,Zoo,"Sex(1 = F,0=Male)",Age,Enclosure size(kvm),Meat,Fish,Fruit
P34104_257,SK-03,35.45.00,Skansen,,,,1,0,0
P34104_258,Control_P6_04,,,,,,,,
P34104_301,HE-M-01,19.08.24,Helsinki,1,3,,1,0,0
P34104_302,HE-M-02,19.08.24,Helsinki,1,3,,1,0,0
P34104_303,GA-M-01,22.11.24,Gaia,1,10,,,,
P34104_304,GA-M-02,28.11.24,Gaia,1,10,,,,
P34104_305,GA-F-01,02.11.24,Gaia,0,11,,,,
P34104_306,GA-F-02,21.10.24,Gaia,0,11,,,,
P34104_307,HB-M-01,29.10.24,Herberstein,1,11,,,,
P34104_308,HB-M-02,25.10.24,Herberstein,1,11,,,,
P34104_309,HB-F-01,14.11.24,Herberstein,0,10,,,,
P34104_310,HB-F-02,16.11.24,Herberstein,0,10,,,,
P34104_311,OS-M-01,07.11.24,Osnabrück,1,10,,,,
P34104_312,OS-M-02,08.11.24,Osnabrück,1,10,,,,
P34104_313,OS-F-01,06.11.24,Osnabrück,0,10,,,,
P34104_314,OS-F-02,10.11.24,Osnabrück,0,10,,,,
P34104_315,DU-U-01,03.10.24,Duisburg,,7,780,1,0,0
P34104_316,DU-U-02,04.10.24,Duisburg,,7,780,1,0,0
P34104_317,DU-U-03,06.10.24,Duisburg,,7,780,1,0,0
P34104_318,DU-U-04,05.10.24,Duisburg,,7,780,1,0,0
P34104_319,SZ-F-01,02.10.24,Salzburg,1,6,400,1,1,1
P34104_320,SZ-F-02,03.10.24,Salzburg,1,6,400,1,1,1
P34104_321,SZ-M-01,02.10.24,Salzburg,0,11,400,1,1,1
P34104_322,SZ-M-02,03.10.24,Salzburg,0,11,400,1,1,1
P34104_323,US-U-01,13.11.24,Ústí nad Labem,,,720,1,0,0
P34104_324,Control_P6_01,,,,,,,,
P34104_325,US-U-02,15.11.24,Ústí nad Labem,,,720,1,0,0
P34104_326,US-F-01,,Ústí nad Labem,1,3,720,1,0,0
P34104_327,US-U-03,11.11.24,Ústí nad Labem,,,720,1,0,0
P34104_328,NA-F-01,28.10.24,Nordens ark,1,11,3800,1,1,1
P34104_329,NA-F-02,28.10.24,Nordens ark,1,11,3800,1,1,1
P34104_330,NA-M-01,13.09.24,Lycksele,0,14,3800,1,1,1
P34104_331,LY-M-01,23.10.24,Lycksele,0,14,,1,0,0
P34104_333,LY-F-01,24.09.24,Lycksele,1,6,,1,0,0
P34104_334,LY-F-02,30.09.24,Lycksele,1,14,,1,0,0
P34104_335,LY-M-02,18.10.24,Lycksele,0,6,,1,0,0
P34104_336,LY-F-03,23.10.24,Lycksele,1,14,,1,0,0
P34104_338,NA-M-03,20.09.24,Nordens ark,0,14,3800,1,1,1
P34104_339,GA-F-03,31.10.24,Gaia,1,11,,,,
P34104_340,GA-M-03,21.22.24,Gaia,0,10,,,,
P34104_341,OS-M-03,10.11.24,Osnabrück,0,10,,,,
P34104_342,OS-F-03,06.11.24,Osnabrück,1,10,,,,
P34104_343,DU-U-05,02.10.24,Duisburg,,7,780,1,0,0
P34104_344,DU-U-06,04.10.24,Duisburg,,7,780,1,0,0
P34104_345,VI-U-01,Vecka 4,Vildriket,,3,3500,1,0,0
P34104_346,Control_P6_02,,,,,,,,
P34104_347,VI-U-02,22.02.24,Vildriket,,3,3500,1,0,0
P34104_348,VI-U-03,22.02.24,Vildriket,,3,3500,1,0,0
P34104_349,VI-U-04,22.02.24,Vildriket,,3,3500,1,0,0
P34104_350,VI-U-05,21.02.24,Vildriket,,3,3500,1,0,0
P34104_351,VI-U-06,21.02.24,Vildriket,,3,3500,1,0,0
P34104_353,KO-F-03,30.11.23,Kolmården,1,6,6000,1,0,0
P34104_354,KO-F-04,11.03.24,Kolmården,1,6,6000,1,0,0
P34104_355,KO-F-05,03.02.24,Kolmården,1,6,6000,1,0,0
P34104_356,KO-F-07,26.04.24,Kolmården,1,6,6000,1,0,0
P34104_357,BO-F-01,09.09.24,Borås,1,3,,1,0,0
P34104_358,BO-F-02,11.09.24,Borås,1,3,,1,0,0
P34104_359,BO-F-03,14.09.24,Borås,1,3,,1,0,0
P34104_360,BO-M-01,11.09.24,Borås,0,,,1,0,0
P34104_361,BO-M-02,15.09.24,Borås,0,,,1,0,0
P34104_362,HE-F-01,19.08.24,Helsinki,1,11,,1,0,0
P34104_363,HE-F-02,19.08.24,Helsinki,1,11,,1,0,0
P34104_364,Control_P6_03,,,,,,,,
P34104_365,SK-U-01,44.43.00,Skansen,,,,1,0,0
P34104_366,SK-U-02,44.43.00,Skansen,,,,1,0,0
P34104_367,ÄH-01,,Ähtäri,,,,,,
P34104_370,ÄH-04,,Ähtäri,,,,,,
P34104_371,ÄH-05,,Ähtäri,,,,,,
P34104_372,KO-F-08,01.01.24,Kolmården,1,6,6000,1,0,0
P34104_373,SZ-M-03,01.10.24,Salzburg,0,11,400,1,1,1
P34104_374,SZ-F-03,01.10.24,Salzburg,1,6,400,1,1,1
