"","Observed","Shannon"
"P34104_257",911,3.7642926813931
"P34104_301",332,3.47458854579396
"P34104_302",312,3.26874169486056
"P34104_303",258,2.79765579713515
"P34104_304",220,2.46474228377033
"P34104_305",177,2.98922356984462
"P34104_306",667,3.84201745219495
"P34104_307",314,3.32890630061078
"P34104_308",211,3.32089092030801
"P34104_309",329,2.67716337924377
"P34104_310",109,1.8371976066378
"P34104_311",812,4.06344106732877
"P34104_312",677,3.72924917120498
"P34104_313",620,4.92909200874357
"P34104_314",1451,4.44315060190168
"P34104_315",274,3.20514878276121
"P34104_316",155,1.77858492278668
"P34104_317",147,2.61505278781329
"P34104_318",247,2.54406862302037
"P34104_319",321,3.1839737744831
"P34104_320",226,3.33775365457626
"P34104_321",507,4.00248658594835
"P34104_322",339,3.52272989851989
"P34104_323",723,4.39387704588301
"P34104_325",844,4.5113026088836
"P34104_326",578,4.02738124679493
"P34104_327",628,3.8983345900091
"P34104_328",1230,3.9008815810518
"P34104_329",914,5.74993524427752
"P34104_330",221,2.25209462264725
"P34104_331",5,0.856715555759585
"P34104_333",38,3.24270858218384
"P34104_334",376,3.62028972065213
"P34104_335",661,3.94154011514445
"P34104_336",265,4.7026528470918
"P34104_338",178,2.05288088784409
"P34104_339",451,4.23814733163799
"P34104_340",173,3.38591599780906
"P34104_341",931,4.37550541226141
"P34104_342",1536,5.64497995324213
"P34104_343",245,3.10725365484156
"P34104_344",132,2.33630850204376
"P34104_345",393,2.69911833061721
"P34104_347",43,1.27583514967401
"P34104_348",208,2.19171563017814
"P34104_349",70,1.78498198365184
"P34104_350",240,4.37531111504123
"P34104_351",100,2.02091942429231
"P34104_353",1102,4.66075382338344
"P34104_354",144,3.01649512851216
"P34104_355",163,2.34868612350779
"P34104_356",351,3.45529178340117
"P34104_357",156,2.4879975665032
"P34104_358",135,1.55580797006616
"P34104_359",220,2.31452506400784
"P34104_360",93,2.02368208991609
"P34104_361",297,2.93572306761616
"P34104_362",85,1.76504070323747
"P34104_363",206,2.53903741798377
"P34104_365",101,2.70934323933425
"P34104_366",234,2.29410715754712
"P34104_367",204,2.17054039310875
"P34104_370",133,2.49085701251023
"P34104_371",92,2.24164258592218
"P34104_372",310,2.58973113317386
"P34104_373",443,4.45704849495735
"P34104_374",228,3.41036433305351
