feature,method,group1,group2,p_values,log2FoldChange,p_adjust,adj_method
PWY0-1586,LinDA,Ähtäri,Borås,0.8487103683533396,0.033920563739567325,0.9910038019755495,BH
PWY-6609,LinDA,Ähtäri,Borås,0.7746212046373363,-0.08321040787298434,0.9910038019755495,BH
PWY-1042,LinDA,Ähtäri,Borås,0.6868676687189661,0.04169704761526083,0.9910038019755495,BH
CALVIN-PWY,LinDA,Ähtäri,Borås,0.4905738907796785,-0.10935225175062893,0.9910038019755495,BH
NONOXIPENT-PWY,LinDA,Ähtäri,Borås,0.9739963870156048,-0.00516784487850154,0.9910038019755495,BH
PWY-8178,LinDA,Ähtäri,Borås,0.9152289963685016,0.013929691824518212,0.9910038019755495,BH
PWY-5695,LinDA,Ähtäri,Borås,0.3802393810905065,-0.11688549934196821,0.9299699248094027,BH
PWY66-389,LinDA,Ähtäri,Borås,0.4127390384210776,-0.9241176722282253,0.9690189288884092,BH
PWY0-1296,LinDA,Ähtäri,Borås,0.6483156790018666,0.16975971802858963,0.9910038019755495,BH
GLUCOSE1PMETAB-PWY,LinDA,Ähtäri,Borås,0.40658614485327826,-0.1895575663151547,0.9690189288884092,BH
PWY-7357,LinDA,Ähtäri,Borås,0.5390613371046463,-0.08730277409570433,0.9910038019755495,BH
PWY-7220,LinDA,Ähtäri,Borås,0.9430141852621535,0.015564028829572071,0.9910038019755495,BH
PWY-7222,LinDA,Ähtäri,Borås,0.943014185262154,0.01556402882957196,0.9910038019755495,BH
PWY-5667,LinDA,Ähtäri,Borås,0.8159439697745021,-0.01802064178459499,0.9910038019755495,BH
PWY0-1319,LinDA,Ähtäri,Borås,0.8159439697745013,-0.01802064178459508,0.9910038019755495,BH
PWY-7663,LinDA,Ähtäri,Borås,0.9715224645491319,0.009237837920330144,0.9910038019755495,BH
PHOSLIPSYN-PWY,LinDA,Ähtäri,Borås,0.6399769745538619,-0.03993152224297686,0.9910038019755495,BH
PWY-5973,LinDA,Ähtäri,Borås,0.8887119934657244,0.033201206106338116,0.9910038019755495,BH
PWY-6385,LinDA,Ähtäri,Borås,0.6541028081754245,-0.03421524416014162,0.9910038019755495,BH
PWY4FS-7,LinDA,Ähtäri,Borås,0.61541763721973,-0.04484100942800099,0.9910038019755495,BH
PWY0-1586,LinDA,Ähtäri,Duisburg,0.7827332306204076,-0.04748575862988877,0.9910038019755495,BH
PWY-6609,LinDA,Ähtäri,Duisburg,0.642750215730834,-0.13060125571695047,0.9910038019755495,BH
PWY-1042,LinDA,Ähtäri,Duisburg,0.7063905127822269,-0.0377250984281193,0.9910038019755495,BH
CALVIN-PWY,LinDA,Ähtäri,Duisburg,0.9482890019695891,0.009938441826488068,0.9910038019755495,BH
NONOXIPENT-PWY,LinDA,Ähtäri,Duisburg,0.3567539961928945,-0.14203834117241979,0.909372931472084,BH
PWY-8178,LinDA,Ähtäri,Duisburg,0.9182885203656596,0.012998791597403886,0.9910038019755495,BH
PWY-5695,LinDA,Ähtäri,Duisburg,0.5347198970950479,0.07992629263060594,0.9910038019755495,BH
PWY66-389,LinDA,Ähtäri,Duisburg,0.5728001006685715,0.6150102494799861,0.9910038019755495,BH
PWY0-1296,LinDA,Ähtäri,Duisburg,0.7887929126420985,0.09647466408916316,0.9910038019755495,BH
GLUCOSE1PMETAB-PWY,LinDA,Ähtäri,Duisburg,0.27207584656059014,0.24349105829418996,0.8408526586572936,BH
PWY-7357,LinDA,Ähtäri,Duisburg,0.45847861671926704,0.10210867876849729,0.9910038019755495,BH
PWY-7220,LinDA,Ähtäri,Duisburg,0.6896503178588724,-0.08424838455925031,0.9910038019755495,BH
PWY-7222,LinDA,Ähtäri,Duisburg,0.6896503178588724,-0.08424838455925034,0.9910038019755495,BH
PWY-5667,LinDA,Ähtäri,Duisburg,0.9369267390792253,-0.00593058797255094,0.9910038019755495,BH
PWY0-1319,LinDA,Ähtäri,Duisburg,0.9369267390792252,-0.005930587972550954,0.9910038019755495,BH
PWY-7663,LinDA,Ähtäri,Duisburg,0.7379990208236888,0.08385550593327587,0.9910038019755495,BH
PHOSLIPSYN-PWY,LinDA,Ähtäri,Duisburg,0.12544323412169678,-0.12795848934824133,0.5837271004379112,BH
PWY-5973,LinDA,Ähtäri,Duisburg,0.6340547789388951,0.10946501388387885,0.9910038019755495,BH
PWY-6385,LinDA,Ähtäri,Duisburg,0.7926526027262893,0.019423376968438738,0.9910038019755495,BH
PWY4FS-7,LinDA,Ähtäri,Duisburg,0.03404989282096595,-0.18693852093640273,0.2603815333367985,BH
PWY0-1586,LinDA,Ähtäri,Gaia,0.441054129234127,0.13299268972400624,0.9877209758255094,BH
PWY-6609,LinDA,Ähtäri,Gaia,0.16196290864927682,-0.3970378995484316,0.6684183531557456,BH
PWY-1042,LinDA,Ähtäri,Gaia,0.02431460142136728,-0.23092979055057103,0.22577844176983905,BH
CALVIN-PWY,LinDA,Ähtäri,Gaia,3.944395289995239e-5,-0.6840624773941486,0.01025542775398762,BH
NONOXIPENT-PWY,LinDA,Ähtäri,Gaia,1.1564812083180272e-4,-0.6361650128474178,0.015034255708134353,BH
PWY-8178,LinDA,Ähtäri,Gaia,0.007076383996006216,-0.3533436649538323,0.11499123993510102,BH
PWY-5695,LinDA,Ähtäri,Gaia,0.28080794743391235,0.13936646755077448,0.8408526586572936,BH
PWY66-389,LinDA,Ähtäri,Gaia,0.00372411675597061,3.2892171754758834,0.08068919637936321,BH
PWY0-1296,LinDA,Ähtäri,Gaia,0.8853224869615897,-0.05192925313643336,0.9910038019755495,BH
GLUCOSE1PMETAB-PWY,LinDA,Ähtäri,Gaia,0.9440081041268448,-0.01548178735482119,0.9910038019755495,BH
PWY-7357,LinDA,Ähtäri,Gaia,0.5501608081882693,-0.08222246347883594,0.9910038019755495,BH
PWY-7220,LinDA,Ähtäri,Gaia,4.883985797873912e-4,-0.7797285940641419,0.021478674933711393,BH
PWY-7222,LinDA,Ähtäri,Gaia,4.883985797873897e-4,-0.7797285940641421,0.021478674933711393,BH
PWY-5667,LinDA,Ähtäri,Gaia,0.7609559067715601,0.02280938743349913,0.9910038019755495,BH
PWY0-1319,LinDA,Ähtäri,Gaia,0.7609559067715604,0.02280938743349909,0.9910038019755495,BH
PWY-7663,LinDA,Ähtäri,Gaia,0.4136965427177439,0.20545536320619534,0.9690189288884092,BH
PHOSLIPSYN-PWY,LinDA,Ähtäri,Gaia,0.5683381946668871,-0.04718261140773807,0.9910038019755495,BH
PWY-5973,LinDA,Ähtäri,Gaia,0.3262439769060561,0.22654277853839316,0.8744683917069545,BH
PWY-6385,LinDA,Ähtäri,Gaia,0.5755541423645876,-0.04141861515451114,0.9910038019755495,BH
PWY4FS-7,LinDA,Ähtäri,Gaia,0.4971576553552509,-0.058739616441890505,0.9910038019755495,BH
PWY0-1586,LinDA,Ähtäri,Helsinki,0.52156958061913,0.11940100715780913,0.9910038019755495,BH
PWY-6609,LinDA,Ähtäri,Helsinki,0.31216478455972774,-0.30854799140446965,0.8454462915159293,BH
PWY-1042,LinDA,Ähtäri,Helsinki,0.3484413850765594,-0.10177678196723865,0.8969778229693609,BH
CALVIN-PWY,LinDA,Ähtäri,Helsinki,0.04498976302509636,-0.33825684538617246,0.30782469438223825,BH
NONOXIPENT-PWY,LinDA,Ähtäri,Helsinki,0.1891406973531111,-0.21951883404856526,0.7450997168455892,BH
PWY-8178,LinDA,Ähtäri,Helsinki,0.46338202864717504,-0.10060900123671782,0.9910038019755495,BH
PWY-5695,LinDA,Ähtäri,Helsinki,0.6667812522361334,-0.059817664688136825,0.9910038019755495,BH
PWY66-389,LinDA,Ähtäri,Helsinki,0.9583237573001766,-0.061464376167392074,0.9910038019755495,BH
PWY0-1296,LinDA,Ähtäri,Helsinki,0.9014412323756947,0.04816112387852655,0.9910038019755495,BH
GLUCOSE1PMETAB-PWY,LinDA,Ähtäri,Helsinki,0.5320678904297131,0.14904808483446913,0.9910038019755495,BH
PWY-7357,LinDA,Ähtäri,Helsinki,0.34503014133410237,-0.14070697357008236,0.8969778229693609,BH
PWY-7220,LinDA,Ähtäri,Helsinki,0.48492889373824377,-0.15939854518192859,0.9910038019755495,BH
PWY-7222,LinDA,Ähtäri,Helsinki,0.48492889373824355,-0.1593985451819286,0.9910038019755495,BH
PWY-5667,LinDA,Ähtäri,Helsinki,0.5450864850963102,0.04906951305990671,0.9910038019755495,BH
PWY0-1319,LinDA,Ähtäri,Helsinki,0.5450864850963104,0.04906951305990669,0.9910038019755495,BH
PWY-7663,LinDA,Ähtäri,Helsinki,0.9871922488910282,0.004344343584681866,0.9910038019755495,BH
PHOSLIPSYN-PWY,LinDA,Ähtäri,Helsinki,0.8643561473602632,0.015238965056953428,0.9910038019755495,BH
PWY-5973,LinDA,Ähtäri,Helsinki,0.9660053303931837,0.010574372840996653,0.9910038019755495,BH
PWY-6385,LinDA,Ähtäri,Helsinki,0.7884529737747357,-0.021415100863684165,0.9910038019755495,BH
PWY4FS-7,LinDA,Ähtäri,Helsinki,0.926672074334554,0.008581471341131498,0.9910038019755495,BH
PWY0-1586,LinDA,Ähtäri,Herberstein,0.48152115562157705,0.13117737985507638,0.9910038019755495,BH
PWY-6609,LinDA,Ähtäri,Herberstein,0.7662587593641447,-0.09035016055951137,0.9910038019755495,BH
PWY-1042,LinDA,Ähtäri,Herberstein,0.8798204197017462,-0.016345405843350133,0.9910038019755495,BH
CALVIN-PWY,LinDA,Ähtäri,Herberstein,0.08497083119245309,-0.2891753466918887,0.46025866895912093,BH
NONOXIPENT-PWY,LinDA,Ähtäri,Herberstein,0.2008704424041422,-0.2137364497409383,0.7789769449741326,BH
PWY-8178,LinDA,Ähtäri,Herberstein,0.868303345119673,-0.022694900066371898,0.9910038019755495,BH
PWY-5695,LinDA,Ähtäri,Herberstein,0.5634182538253905,0.0803246691690524,0.9910038019755495,BH
PWY66-389,LinDA,Ähtäri,Herberstein,0.3093833011632693,1.201498558993596,0.8454462915159293,BH
PWY0-1296,LinDA,Ähtäri,Herberstein,0.43887406673685336,0.3018797238498918,0.9877209758255094,BH
GLUCOSE1PMETAB-PWY,LinDA,Ähtäri,Herberstein,0.14245770522456214,0.3528094203348212,0.6386035061790716,BH
PWY-7357,LinDA,Ähtäri,Herberstein,0.5542828670176276,0.08789108933605663,0.9910038019755495,BH
PWY-7220,LinDA,Ähtäri,Herberstein,0.25860733515353973,-0.25880531905673165,0.8408526586572936,BH
PWY-7222,LinDA,Ähtäri,Herberstein,0.25860733515353956,-0.2588053190567317,0.8408526586572936,BH
PWY-5667,LinDA,Ähtäri,Herberstein,0.9570866702927429,0.004355796628547584,0.9910038019755495,BH
PWY0-1319,LinDA,Ähtäri,Herberstein,0.9570866702927429,0.004355796628547577,0.9910038019755495,BH
PWY-7663,LinDA,Ähtäri,Herberstein,0.6006292774158082,0.14185721476376834,0.9910038019755495,BH
PHOSLIPSYN-PWY,LinDA,Ähtäri,Herberstein,0.7548939135874382,-0.02785808189392991,0.9910038019755495,BH
PWY-5973,LinDA,Ähtäri,Herberstein,0.41772090086153135,0.20169518643339002,0.9697092341428407,BH
PWY-6385,LinDA,Ähtäri,Herberstein,0.9256614691377522,0.007444576517516753,0.9910038019755495,BH
PWY4FS-7,LinDA,Ähtäri,Herberstein,0.7844330615640885,-0.02551455873781283,0.9910038019755495,BH
PWY0-1586,LinDA,Ähtäri,Kolmården,0.819716201736193,-0.040528617231762765,0.9910038019755495,BH
PWY-6609,LinDA,Ähtäri,Kolmården,0.10167260736501313,-0.48159644857793904,0.5077083060105919,BH
PWY-1042,LinDA,Ähtäri,Kolmården,0.06516348156379266,-0.19373078572635585,0.41323183430697785,BH
CALVIN-PWY,LinDA,Ähtäri,Kolmården,0.0029584320294923213,-0.49081739396275115,0.07489460168926852,BH
NONOXIPENT-PWY,LinDA,Ähtäri,Kolmården,0.007799245837627767,-0.4364169203419121,0.11928258339901292,BH
PWY-8178,LinDA,Ähtäri,Kolmården,0.028945450479933927,-0.29242451029819244,0.23518178514946317,BH
PWY-5695,LinDA,Ähtäri,Kolmården,0.7054640385150992,0.05019715645776279,0.9910038019755495,BH
PWY66-389,LinDA,Ähtäri,Kolmården,0.005931596868884052,3.209270755047014,0.10919933740558525,BH
PWY0-1296,LinDA,Ähtäri,Kolmården,0.891818065330527,0.05057452781416749,0.9910038019755495,BH
GLUCOSE1PMETAB-PWY,LinDA,Ähtäri,Kolmården,0.34217516378619695,0.2171779812448636,0.8969778229693609,BH
PWY-7357,LinDA,Ähtäri,Kolmården,0.38299056055628233,-0.12422357923592178,0.9299699248094027,BH
PWY-7220,LinDA,Ähtäri,Kolmården,0.015147012757347188,-0.5440116034847776,0.16409263820459455,BH
PWY-7222,LinDA,Ähtäri,Kolmården,0.015147012757347188,-0.5440116034847777,0.16409263820459455,BH
PWY-5667,LinDA,Ähtäri,Kolmården,0.6743715771808478,0.03254737189263919,0.9910038019755495,BH
PWY0-1319,LinDA,Ähtäri,Kolmården,0.6743715771808483,0.03254737189263915,0.9910038019755495,BH
PWY-7663,LinDA,Ähtäri,Kolmården,0.8730783418018387,0.041343339426730755,0.9910038019755495,BH
