pathway	P34104_257	P34104_301	P34104_302	P34104_303	P34104_304	P34104_305	P34104_306	P34104_307	P34104_308	P34104_309	P34104_310	P34104_311	P34104_312	P34104_313	P34104_314	P34104_315	P34104_316	P34104_317	P34104_318	P34104_319	P34104_320	P34104_321	P34104_322	P34104_323	P34104_325	P34104_326	P34104_327	P34104_328	P34104_329	P34104_330	P34104_331	P34104_333	P34104_334	P34104_335	P34104_336	P34104_338	P34104_339	P34104_340	P34104_341	P34104_342	P34104_343	P34104_344	P34104_345	P34104_347	P34104_348	P34104_349	P34104_350	P34104_351	P34104_353	P34104_354	P34104_355	P34104_356	P34104_357	P34104_358	P34104_359	P34104_360	P34104_361	P34104_362	P34104_363	P34104_365	P34104_366	P34104_367	P34104_370	P34104_371	P34104_372	P34104_373	P34104_374
12DICHLORETHDEG-PWY	17597.115170862602	403.8105471740861	1121.0446480003893	469.44193287993744	716.1374982892698	616.3653495481761	3804.4509586117824	945.2076934914452	265.19630748492165	1515.0003917345764	238.98078373852817	11760.419345298516	7518.183167339014	563.9521868617975	21016.218358797127	204.6912446131489	1133.5201300535093	0.0	389.18576527758484	451.6818779096746	162.1978021978022	1456.0776188661619	502.3562486879603	10379.80804997679	5229.281836344338	3472.3963382347247	4926.4382901931585	27557.25731941359	43713.426822534675	982.3327362040143	0.0	1893.6547510031314	17996.434292808324	33393.18889790917	15924.889289139643	281.56915445494167	3075.6035724247386	15491.432007402269	8134.45293824735	28554.659868620205	569.710944349829	80.71153065911106	1996.0775160264714	0.0	1427.036645454252	79.86657060518733	5566.107647192024	864.958776866209	20988.3065375867	5201.301777853806	4056.363435636337	15999.976809489339	103.31869547631294	97.6860718039842	825.8270028316304	0.0	1817.0804750010486	43.217385361853346	2263.791429950874	54.14224380819492	1598.5585540517297	215.10597976260243	8.42302177739751	14.65130618547465	3297.2714975531267	8000.57219216017	7.884841363102232
14DICHLORBENZDEG-PWY	2783.119508762856	187.65360148813284	516.645562887106	6907.622277689159	1251.680658884975	1229.5724744465963	46129.26327050095	353.82034597021203	377.06751049832855	2000.5688525652038	19.87102931503669	10366.110495181058	5190.970191799281	214.52884891566217	42661.69609948969	2734.7614069460633	1124.3711371783495	57.554633737497916	3221.9959470859894	322.4805878076425	165.38909384239096	1547.0811857425908	134.2109798891894	25132.744159288395	15513.65054979151	47063.318926499865	11495.047995156896	13904.982164735125	32456.012439846174	1094.4915478526423	5526.8714578148665	2947.3232318922396	11146.753531820632	22499.719391563878	12866.973605560243	459.49332534344177	43797.891094574494	6765.329240274548	46798.45051655793	35411.456032514856	549.4657994241725	206.98685439264423	600.4755118591155	2645.2070843909537	7481.7901318669765	0.0	11927.930116972404	1730.533169308787	19102.774569088386	691.2836762207294	4857.408450704226	25692.207365497634	25.15221072436501	76.90334934046564	539.5274438807933	16.82696629213483	816.5404283599593	39.46277372262774	5809.838998107243	49.13732740647496	1180.3844884715813	66.50216977975259	0.0	5.240575677203356	964.544906579705	854.2722839446498	18.651583344780498
1CMET2-PWY	378517.7881567646	174521.68117191095	140986.30440962032	351574.5629801323	335603.9151443753	211021.83092070534	215476.50130912088	215864.52957357475	240450.39528970883	191789.78419919763	126148.77005549187	184428.1894779854	304918.12594467675	134365.65733367126	369066.0020101473	78274.24365287411	91274.5391317659	141684.4986994759	106772.12506774254	53294.11337596222	126250.36903669508	177795.9895321691	146269.50322345702	206506.5558273971	238568.50192775682	249369.9091564173	239035.9536771617	247955.4245957412	253939.40141536447	207994.94055033312	5633.302470140769	10671.455566725852	213991.5585618841	300669.1622630011	137056.45317224076	92144.84843630657	191918.51584926143	326246.01364319935	286222.530609621	200318.00196072855	167801.84500389127	108206.2636409954	132825.4575711821	79245.64694422133	100022.25613111236	24607.918632733465	123291.07673200281	70564.62085169814	175756.26503039023	202940.39714106047	158314.11816294017	352009.94320305693	133080.04284828945	61979.08572445349	100630.49654258403	98835.31941878253	134589.13052173672	59263.60668518462	204957.0944724866	139087.5342905322	130860.98204779525	74118.50264670167	125321.52099368203	82762.23055814934	157059.45542903335	189555.78419902181	179220.51119324513
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	6482.701602727588	89.57902026310116	14307.974032260794	7109.534389526997	6405.112310413713	958.3292136692277	1361.0838101435827	5650.153327767682	6894.313609638935	7961.421893625727	16.300769437773	1918.4002117514735	1636.7383257128922	0.0	3892.1106844088067	30.009633169160402	0.0	0.0	0.0	414.6881420813205	2278.775451901972	5969.8267054202815	1251.0086252460417	431.62776749496595	810.5060494288251	143.23461459334817	83.73559902151985	3886.938347450576	9247.349537652506	381.43305002319397	0.0	857.620959300816	1268.4788113208663	2574.407314476535	0.0	0.0	269.68027905118277	69616.10856792811	3370.760080824783	949.039063572806	0.0	0.0	464.8767250520015	0.0	214.40983896315015	0.0	272.76166815734155	0.0	2281.9937773610977	0.0	0.0	459.18259596559034	0.0	55.057335394289304	884.2657413313011	0.0	999.6208878560861	0.0	0.0	0.0	463.1180681698468	0.0	0.0	0.0	14618.710351287107	5841.648773677623	8671.377965647822
4-HYDROXYMANDELATE-DEGRADATION-PWY	2858.514850000893	0.0	19.900585940982314	3689.359097115321	3024.2731280153125	390.96151706893585	1771.327277854534	109.97511077755227	118.12385570754229	421.5401766271612	0.0	3779.8544911761446	1496.9488688792092	11.641249831822494	8717.91252253236	73.5437965072359	0.0	0.0	99.63629209036682	402.8440994977243	291.94947958481947	3343.389290014553	1104.713347399779	2982.0692078301213	3604.024444530605	1015.5397859628143	3222.311386378144	23.95585122457639	4297.764983175464	394.8004609828177	0.0	842.9584602183211	1136.9336164622175	2636.233468178513	2488.053897476339	0.0	480.60309734556694	494.09071595987444	2534.8635818059765	145.15576910207307	0.0	0.0	116.49979926698623	153.65540087044414	0.0	0.0	4151.3736834831425	0.0	121.88886547086337	139.22122200143028	209.12595565265707	863.8329680079271	108.63830134489531	80.18006786190362	634.546080425207	0.0	296.44479806385885	0.0	161.42102495423654	0.0	38.375380627608244	80.52685842176943	0.0	11.325283499473414	0.0	1335.9293397781598	26.836422637299684
AEROBACTINSYN-PWY	2346.122301777096	0.0	2439.9901922520207	28.314564851249195	676.0695170219168	0.0	2982.743671296992	74.20732284432648	3163.395136001887	214.90976490052512	5.468433615935468	969.164391658168	231.97143694947155	0.0	450.2435886197115	0.0	0.0	0.0	0.0	14.15088607594937	42.20074349442379	867.0991935129603	123.7212045541678	235.30885949182024	283.7925528458908	600.6437686098836	716.5096513720696	756.4489255894786	4055.147865748804	29.786527514231494	0.0	0.0	348.6640793956154	194.53026017994853	319.11380438791736	0.0	300.27535527385675	647.2451297626095	54.4758223616576	1637.8456154756286	18.589142687629785	0.0	128.30364647649608	0.0	0.0	0.0	339.37104962207195	58.20506612559013	1662.5080694711526	17.379731287909312	35.43423060452717	422.98773474627745	0.0	0.0	154.9550791014186	0.0	424.7290016552922	0.0	0.0	0.0	160.49587912087912	56.641227286646554	0.0	0.0	9694.683497241544	2845.5834977791023	235.5763289211442
ALLANTOINDEG-PWY	171996.3645892261	281.91728209165586	14175.99639550442	32416.86369638991	76530.08790554083	18294.85349245988	65246.86605654812	4209.730305802067	29205.175571356238	9546.788452266199	10708.947779531483	30288.46113687844	162756.91907244283	4395.133263175	100030.13142014662	2100.7375880969316	147.27212706437288	14.786613092949644	874.159504404317	3621.4560238460945	592.35786406972	8574.536340579227	3934.864518803302	39709.84023448793	22292.622939116955	70202.16760524608	82298.59492434697	22384.896110287296	37149.91485380878	838.8958878252722	0.0	1326.4649532610458	48706.02592319388	144493.72368174832	11524.036075681715	202.2160738944841	24998.826445654904	96307.26291386817	66788.84899265949	25538.55424242713	1220.516427060771	41.03723276116033	2351.205891987847	310.93042832384253	4493.849980871875	253.71076591167483	10935.37531219633	1895.319241656151	25896.84825680945	65947.60970457642	15915.02230748504	102996.84973574583	493.14814099506435	472.40407720443824	3091.4017389029764	31.583850931677013	15239.630283678083	34.2791647753064	17544.064788039355	59.37722649993957	1544.1114816304914	535.8063326391698	10.728811979281815	930.5317171147856	23848.31359232319	46329.72059255423	29.97951951653039
ANAEROFRUCAT-PWY	291386.26104806794	268240.3523356712	184143.01523917724	306180.4502517226	246020.7497050392	163438.05140900667	273938.1397996542	237284.67206161775	248713.50758113276	243268.52179364	162789.22135823473	201149.73367925166	343062.0344933567	156954.82416194596	402685.29609687655	91058.11435991595	82819.20642325326	150599.24332762414	145164.4919016242	101276.09862551183	156800.08090595892	207386.62917533953	169981.4263173322	264615.2674791308	275034.74700915295	284246.6700018763	277606.68857125717	220981.6194740073	266518.4246571573	128883.57578402622	2.9970920558676557	7631.391667065978	214633.9977411026	295951.87141512544	140474.1465761557	108370.72840809103	248157.44597465202	299036.52196077537	289705.98428788246	193065.10343465465	186188.5231672243	80900.95693012301	169109.8391545513	87361.55547546677	183841.78801124098	34950.551797038366	128677.00681769039	123582.46347652691	193377.0204951327	168595.23992069467	117586.42933240707	305847.697607652	15107.66518854378	43165.23386702385	112631.80135600835	25032.66391861714	135368.3031241488	20659.71950090949	153571.6229008905	44135.95254685579	62940.884327241954	37819.029494735885	150769.4815172667	2782.989675488441	163638.37864299124	148296.2087618581	227617.69467643468
ANAGLYCOLYSIS-PWY	347791.4352339781	311239.77228427597	276141.38238125603	332136.78791143803	329443.3914884748	371938.0043457247	308369.14588293247	336304.69394299545	288612.8266546015	282498.1479483094	186964.75374551822	221769.53942611915	389255.2025794138	203615.45595258626	459618.8177057126	118670.56184598037	112472.63689360728	183634.3230324865	188766.48610523783	149341.62649234137	177060.54094561015	309491.94159085426	187597.56044183977	302478.33840179426	312178.65440908703	333687.5000713638	336608.7212466407	304087.28194149176	324793.5755595206	172566.9735451498	5856.32182182887	11377.719142713733	237426.2909439825	331888.50284655864	177073.54545464282	126144.45470212617	294816.2310421561	343317.27914640744	353071.8855811872	242210.4535075232	208291.85922768887	106579.7084050903	190649.4386543853	129226.70036226744	211352.51023271657	42162.589273182886	151147.22144087657	144539.74788943672	224902.62017400225	226718.39875784333	144920.5905223056	381758.0498870619	22168.230297116585	58137.9051006498	127920.5573682948	35769.33283296434	160108.3462087564	30203.843667052457	186568.64009457314	61441.51734850609	83222.67859186148	52806.78688415357	166851.6945760626	4153.371225105628	194392.58732416155	195405.24408657645	258114.6229902107
ARG+POLYAMINE-SYN	204526.1058315156	58644.40714712049	66066.60016084505	285600.7299333603	242873.88376634748	121238.02289359955	75324.52519886864	86513.86742247612	129698.92105991718	112747.60493331368	60037.100897441014	99752.57821883571	90991.47508937381	94137.79102837876	159514.96601623142	46287.217429820135	28213.0697728078	24156.589812564987	45729.59468993357	23457.8832159174	70837.35697917207	77995.03800336225	112486.26340519713	94767.81589601576	105464.566749623	51450.15185006456	63124.54532813244	72493.55516000195	104464.031584623	59574.63812858776	1344.6889115019846	4431.274132511266	113104.2559769198	155836.89684467285	68878.57985244201	25908.73369849562	83673.66398714553	254538.57174869304	129584.77092924959	45724.455534029585	38982.99866667643	58282.56591744187	42869.04085733704	21088.843624141955	55919.79557813288	4881.131980300854	46622.89667842265	43608.167749174	108644.43831548988	180910.89607951985	115327.84636421905	221260.9365928038	12755.483970852056	38154.424678017094	64393.782342569684	9843.767300485093	81630.42839184278	13530.264966526363	142905.1341298476	4381.259883670825	37588.96059281058	42557.10889158375	61613.48989088428	22753.681121016056	107247.92492458104	76334.38487497445	89590.3779514935
ARGDEG-IV-PWY	141830.97577350395	25.0	8477.169284877271	151.78620868342156	86.64299180737798	5.333135502058681	46.70842698915193	69.2416802592836	0.0	190.494718166665	267.51897552191025	10935.78897239062	3746.533372632654	0.0	502.6608227513456	50.71620072070934	0.0	0.0	0.0	59.571014084692926	20.635778378198076	204.39497460366013	112.11669613538774	2399.4784293649486	294.0862015788283	583.0159264169115	198.7048695326438	332.2602969735844	2614.2678915610504	0.0	0.0	186.01274753263638	21766.938581188915	59958.15937790185	364.1752051984357	13.639344262295081	1238.5274360902142	55359.33475253717	1003.5226122394273	424.91862305595333	0.0	8.379052369077307	165.96348012889365	169.42931937172776	103.352852698918	142.47619047619048	2191.3199259936573	550.5696938380054	9787.899377394264	51290.54737732569	3044.5740180900652	46372.84894158436	55.01336564310324	156.47817384740048	1285.3691908426852	5.0	4409.719468294202	0.0	1286.770659362084	0.0	76.39079987336218	31.00939096051403	0.0	6.659012629161881	228.78356703022413	5425.050124736607	0.0
ARGDEG-PWY	63455.50959981283	0.0	0.0	6437.402898782409	7313.984244338247	155.88185542293232	3653.5800393887134	2542.160303698321	11854.166047824476	1692.5549541757196	833.4824914044735	26929.697965885243	12050.202413541087	0.0	1331.5137186200354	0.0	0.0	0.0	0.0	461.0173943911306	599.5118705997454	7006.639635393195	1660.7737753560762	7606.842490649624	3129.0616592487036	2729.398878782054	627.1082835294765	207.61983349375694	7907.804579431829	120.67491483081012	0.0	0.0	13513.607609436309	87084.68217947127	2276.0402986073377	0.0	4588.805080088368	99545.69284784055	474.9220308335372	0.0	0.0	0.0	0.0	307.89350590145636	0.0	0.0	6053.862704149016	0.0	428.21316849630966	59987.6678639382	3450.5758802115247	88560.56372230833	173.3341401159529	535.5919271186152	3428.395153030641	0.0	8883.201998827586	0.0	3490.703743968238	0.0	32.04473741556485	0.0	0.0	19.910289811373783	0.0	12803.546535610554	4191.003251348243
